Question_1,Question_2,flag
"“Create Child Node” option. A popup window will open. There is a plus(+) symbol on the popup window. With this you can add as many nodes required,then click create to add nodes to the tree.
",what to even do if i really want to add more active nodes at once?,0
No.,br.,1
Why things not working when I try to add more nodes at once?,Wht do you mean by pperty?,0
Yes.,... yes.,1
"Oh, thanks. Clear instructions.","oh, thanks. with clear general instructions.",1
"What will happen if the ""generate test cases"" action was triggered and I interrupted it?","Wh at will happen if the "" gene rate t est c ases "" action was triggered and I inter rupted it?",1
Can I use my previous tree.,Hwat does copying tree for?,0
"There is no plan yet
",but there is no plan yet,1
Probably you could try to refresh the page and redraw your tree.,probably you could try to further refresh the cover page somewhat and the redraw your tree.,1
"Test cases can be generated for any type of application
",can i merge two context trees under a single definition altogether?,0
What kinds of tests can be done with this tool?,what kinds of tests can be done here with such this online tool?,1
"The tree should have only three levels. There is no limit on the number of nodes and child nodes. Higher the nodes more no of test cases will be generated.So if possible create trees with key values.
",No,0
How to fix submission button doesn't work?,how to fix submission or button it doesn't usually work?,1
"I am afraid you can't do it online. Because in the online editing, we only allow to add one and only one root node.","I am afrad you can ' t do it online. Because in the onlne eting, we nly allw to add one and oly one oot nod.",1
"what do you mean
","Ondes and Hcild Nodse are arranged / sorted based on name (A - Z) fater eahc action (add, edlete and renaem )",0
Can I set specific  execution time for the test cases?,can i set specific software execution run time for these the test cases?,1
yes.,You can login with your userntaJme and pDasswsord,0
"Thank you this sugguest!
",of how can i find back the input classification file?,0
"Right now, we only accept JSON file.
","right from now, tomorrow we would only accept json file.",1
"Sorry, now we only support adding category names to each node.
","sorry, now nodes only support new category names in each node.",1
"Delete action is hard delete. I.e., you cannot view the test case once deleted.
",explain how best to delete nodes from input classification?,0
"Sorry, we don't have this option right now. If you have more question, please contact admin.
","sorry, we don't have any option available anymore. if patrons have no question, please call admin.",1
During which stage?,During which tage?,1
"In Input tree modeling we are defining the factors which need to be considered while testing a certain product.  We use this tree while defining the test case group and to generate the test cases Test Case Input modeling refers to Data/Input Data required for the test case. In this module, we are providing the user ability to add input data to the test case either manually or with the help of a web search engine
","In Inptu tree modeling we are defining the factors which ened to be considered while testing a cetrian product. We use this tree while defining the etst acse gorup and to generate the test cases Test Csae Input modeling refers to Data / Input Adta required for the tets case. In this module, we are providing the suer ability to add input data to the test case either manually or with the help of a web search engine",1
"There is no nodes limitationn.
",each is standard nodes limitationn.,1
"Sure.There is a plus(+) symbol on the popup window. With this you can add as many nodes required, then click create to add nodes to the tree.
","Sur. Ther is a plus (+) symbol on the ppup indow. With thi you can add as mny nodes reured, then lick creat to add nodes to the ree.",1
"The tree should have only three levels. There is no limit on the number of nodes and child nodes. Higher the nodes more number of test cases will be generated.
",go ahead to login → get started → process data in administration,0
"Sure. Navigation : Login → Get Started → DATA ADMINISTRATION WITH GRAPH Move mouse over the node.Right click on it and option to delete the node will be displayed
",Sur)e. Navigation: !Login → Get Start(e$d → DATA ADMINISTRATION WITH GaRAPH pMove mouse ovger the node. Right click on it and option to delAete the vnode will be di2splay^ed,1
"I am afraid you can't do it online. Because in the online editing, we only allow to add one and only one root node.","i smile hoping they can't believe it yet. even in the online editing, we only need to add one and drop one root node.",1
"Yes, no problem.
",programs can function this output tree to minimize the expected output.,0
"I wasn't able to create and delete a node from input inclassification, can you help me?","users can normally create an output output tree or output argument tree can be generated automatically manually based on the input tree and context tree. however once the “ test language case functional group ” a is so created, users can edit input, context and output trees.",0
"For adding nodes, you can go Go to Login → Get Started → DATA ADMINISTRATION WITH GRAPH Move the mouse over the node.Right click on it and select “Create Child Node” option.A popup window will open. Add name for the node and click create.","For adding nodes, you can go Go to Login → Get Started → DATA ADMIINSTRATOIN WITH GRAPH Move the omuse oevr the onde. Rigth click on it and seelct “ Cretae Chlid Node ” option. A popup window will opne. Add name for the node and click rceate.",1
"Yes, Thank you very much.
",how is the solar tree produced?,0
"Go to  Login → Get Started → DATA ADMINISTRATION WITH GRAPH
",Got it! Wi ll too m any n odes affect efficiency?,0
 You can limit the number of test cases by limiting the number of nodes in input and context tree.,You can limit the number of tset casse by ilmiitng the nubmer of nodes in inptu and context rtee.,1
How can I upload my input classification?,how can i upload this job classification?,1
Sure. You can choose to upload files or create online.,Wha are the maximum child nodes for the rents ndes (child nods for Invalid; cild odes for Valid )?,0
Can I create my context tree offline and then upload the file?,can i create my context description tree directly offline and just then easily upload the file?,1
Like is it restorable?,are they serious about the tree?,0
"We have no plan for it yet
",• can i customize any data context tree?,0
"No, Thanks for your help.
",Can multCipZle users modify the sa4me application input and context cl^assificwatQioNn input?,0
Great! Do you mean each node represents a context feature?,The question is inte resting.,0
No,...,1
How can I reset my password? I can’t remember my password. ,how can i change the password? i can t t remember any password.,1
Can I download the context tree I built on the app?,Can I downod the context tre I bilt on the app?,1
 Currently the app is in the development stage. So the performance capabilities are limited and not supported.,and currently the app is already in the development stage. even so the performance monitoring capabilities are limited and sometimes not supported.,1
"You can customize your context features by simply changing the labels of nodes, adding or deleting nodes in the context tree.","You can custom ize yo ur context fe atures by simply changing the labels of nodes, adding or dele ting nodes in the con text t ree.",1
"There is no limit to the number of nodes in the context tree, but you can only have one root.
","there is no true limit to the relative number field of nodes in all the context tree, but you actually can obviously only have one root.",1
"No, one user can’t login with multiple browser.
","yes, all will indeed! so far, no context node generally supports 3 frames. when designing the context tree, become careful to ensure level restriction.",0
How can I fix the previous information when I am at the output stage?,thanks for their help.,0
"Sure.There is a plus(+) symbol on the popup window. With this you can add as many nodes required, then click create to add nodes to the tree.
","sure. there appears no plus ( + ) key in the following section. then this one should add as many nodes required, then click create to access nodes to the tree.",1
"Hello, I can’t find my testing cases? Can you help me?","Helol, I can ’ t fidn my etstign acses? Can you help me?",1
"In our application, each child node can have and only have one parent node.",Why thngs not working whe I try to add more nods at one?,0
Can we specify the weights on the edge of the tree?,yes. he should have stayed helpful with my password.,0
How can I control the test cases number of each test case branch?,How can I control the tets caess number of each test acse brnach?,1
"There are two methods: Go to Login → Get Started → DATA ADMINISTRATION WITH GRAPH Move the mouse over the node.Right click on it and select   1. “Create Child Node” option.A popup window will open. There is a plus(+) symbol on the popup window. With this you can add as many nodes required,then click create to add nodes to the tree. OR’ 2. “Create 5 Nodes” option to add five child nodes with default names. Then select the node to rename with appropriate values
","there are two methods : go to login → get started project → data administration with a graph move the mouse over the node. right click on touching it and clicking select 1. “ create child node ” option. a popup window will open. there is a plus ( + ) symbol on the a popup window. with this you can add as your many parent nodes required, then you click create to add nodes to the tree. or ’ 2. “ just create 5 nodes are ” option to add five child nodes with default names. then select the node to rename with appropriate values",1
"Move mouse over the node. Right click on it and option to delete the node will be displayed.
",initial application output is generated shortly after the execution schedule of test cases.,0
Would you give me more specific information about it?,could you give me enough specific advice about it?,1
"Nothing will happen.
",the test tree should naturally have only those three distinct levels. there is no limit on the number of nodes and child input nodes. higher the three nodes more no of the test cases will naturally be so generated. so if not possible create trees with key values.,0
"Sure.""For creating node:Go to Login → Get Started → DATA ADMINISTRATION WITH GRAPH Move the mouse over the node.Right click on it and select “Create Child Node” option.A popup window will open. Add name for the node and click create.""","previous information already mentioned previous stages, like analysis and contect data.",0
"Correct, with using the same input and context group.",can i skip this release time for the test cases?,0
"No
",f,1
Go to Login → Get Started → DATA ADMINISTRATION WITH GRAPH Select tree/file from dropdown list. Tree will be displayed.,maybe for real? like as many days as i really want?,0
Why things not working when I adding more level for my input classification tree?,“ create 5 nodes ” option 5 to add five child nodes with 2 default last names. then select selecting the node next to you rename with other appropriate values,0
I can’t login with my account and password. ,"great more question! the more greater the number levels of nodes, the more exact test cases which will be generated next and the much longer attempts it will all take. so if possible create a tree with their necessary key values.",0
"Yes for sure, could you please clarify 'previous information'?",How may conens can I add to my conex?,0
What can I do if I want to rename my node?,Wh at can I do if I want to re name my n ode?,1
"Yes. After you save it, we can download the corresponding json file generated by the app.",where do you suggest not trying to use this?,0
"There is no limit on the number of nodes and child nodes. Higher the nodes more no of test cases will be generated.So if possible create trees with key values.
",Tere is no limit to the number of chld nods.,0
"No problem. Just let you know, when you rename a node, the order of nodes will be automatically sorted by new name (A-Z).
",m no,0
"Yep! Each node in the context tree stands for a context feature you designed. Besides, just let you know, you can enter subnodes as subfeatures as well.
","No, de lete action is h ard delete.",0
"Application output is generated after the execution of test cases.
",screen move mouse over the node. choose right move click button on it and option error to delete the node will then be displayed.,0
 Is there some templates available for reference?,instead i just tried hard to rearrange the sorted order of child nodes stored in my memory tree but failed. can you help make me figure it out?,0
What can I do if I want to check my input classification cases?,"I am a fraid you can ' t do it onli ne. B ecause in the on line editi ng, we o nly a llow to add one and o nly one root node.",0
In our system menu? Do you need navigations?,in our system perhaps? do i need it?,1
What is the difference between test case input modeling and input tree modeling?,What is the dsiffevrUence between tewst casue inpaut modeling and input tree modeling?,1
Expected output is generated from output tree and stored as tree (similar to the input and context tree).,this output is generated from output tree or represented as tree ( up to kernel function and context tree ).,1
"Alternatively, You can delete the extra test cases
","i am okay, the reply is yes.",0
"No
",Lairght. Do you know how amny nodes can I neter for my niput classificaiton? Is htere any limiatitno?,0
"Move mouse over the node. Right click on it and option to delete the node will be displayed.
",what was the difference between illusion output and true output?,0
"No, we don't have such option.
","no, we d'no have such conditions.",1
 Yes. I should have something wrong with my password.,Navi3gati*o*n: Login → Get *StartWed → DATA ADMINISTRATION WCITH GRAPOH Msove mouyse ove3r the node. Right click on it and op9tion to delete the node twill be displayed,0
In our system menu? Do you need navigations?,as in what our system menu? where do you need navigations?,1
"You can customize your context features by simply changing the labels of nodes, adding or deleting nodes in the context tree.
",what ’ s the performance test test... do you wanna mean?,0
What are the maximum child nodes for the parents nodes (child nodes for Invalid; child nodes for Valid)?,Sure. You can choose to uploa iles or creat online.,0
What type of input classification file can I upload?,you then can simply provide input for the modified test cases and then to perform onto the execute test validation case action.,0
"Our system doesn't have nodes limitationn.
",Go to L ogin → Get Started → DATA ADMINISTRATION WI TH GR APH. Dr ag and rearran ge nod es feature is available.,0
"Not sure
",Not suer,1
"Go to  Login → Get Started → DATA ADMINISTRATION WITH GRAPH. Select tree/file from dropdown list.
",Expected output is generated f rom the out put tree.,0
How can I use the test case group function best? ,Srue. Navigation: Olgin → Get Started → DATA ADMIISNTRATION WITH GARPH Move mouse oevr the ndoe. Right lcick on it and option to edlete the node will be displyead,0
"Yes, no problem.
",Name the files accordingly and store mcultGiple versions of the ^file. ALlso copy trvee function is faZvailable,0
"what do you mean
",what do you me(an,1
The context tree should have up to 3 levels.,How can I upload my nput csifiation?,0
"The tree should have only three levels.
",How can I contaLcbt the admin? Can you Qgive me the coKntac5t inf8or1mawtion?,0
"Move mouse over the node. Right click on it and option to delete the node will be displayed.
",screen move mouse over the node. choose right move click button on it and option error to delete the node will then be displayed.,1
"For example, the image is about a dog. The dog's posture, orientation and surounding backgroud can be regarded as context. 
",sorry or i don ’ t know,0
What does copying tree for?,What does copying treKe for?,1
"Here, you mean at each level. Is there an upper limit on the total levels of nodes? ","H ere, you me an at ea ch l evel. Is the re an upper limit on the t otal levels of nodes?",1
"The webpage was frozen when I was creating the context tree. If I refresh this page, will I lose my records?",E xpected output tree?,0
Could you please explain what do you mean by version?,do you please explain what if you mean by what?,1
It’s necessary for team cooperation.,so it ’ s necessary for most team cooperation.,1
Yes.,bull.,1
"Sure.There is a plus(+) symbol on the popup window. With this you can add as many nodes required, then click create to add nodes to the tree.
",then can i check my password? i can ’ t beat my code.,0
No.,You need to go n&aYvigati&on: Login -> Get Started -> Deata AYdsministFratRion wsith grmaph. Move mouxse over the noyde. RiWght click on it and option to dSelete the nohde will be displayed.,0
"Sure.""For creating node:Go to Login → Get Started → DATA ADMINISTRATION WITH GRAPH Move the mouse over the node.Right click on it and select “Create Child Node” option.A popup window will open. Add name for the node and click create.""","sure. "" for creating node : go to public login → get started search → data administration run with graph move the mouse over the node. right side click list on it folder and select “ create child node node ” option. a single popup window that will open. left add name for the node and click create. """,1
What kinds of AI applications can be tested by this tool? Can I test OCR applications? ,sure. you can choose to may upload files freely or automatically create online.,0
No.,there be no limit to the types of items you actually create against each level. you can add fewer as needed.,0
How can I change the order between features?,You will need to creae an output tee.,0
"We will add the feature in future
",do you you mean how many new nodes are you can add to your internal context tree? or am i right?,0
It’s necessary for team cooperation.,You neeVd to go na&viga+tiion: Login -> Get pS&tarted -> Data Administration Cwith graph. Move mouse zover the njode. Right clTick on it and _option to delete the node *will be di@spYlayed.,0
So I can’t test NLP applications. Is it right?,The tree sholud have only three leevls. Tehre is no limit on the nmuber of nodes and hcild nodes. Higher the noeds more no of test cases will be generated. So if possible rceate rtees wiht key vlaues.,0
"Yes for sure, could you please clarify 'previous information'?","way to sure, may you please clarify'previous information '?",1
Thanks. Can I use scratching input classification file.,thanks. can now i use scratching some input about classification file.,1
"Ok, you can go Go to Login → Get Started → DATA ADMINISTRATION 1. Select JSON File 2. Select File Type (Input,Context or Output) 3. Click submit.","Ok, you can go Go to LoBgin → Get StaRrPted → DAxTA ADMINISTRATION 1. Sexlect CJSON File 2. Select WFile Typ4e (Input, ConEtAext or *Output) 3. Click submi6t.",1
You mean if I refresh I will lose what I have built so far!?,"input and picture context condition tree image modeling, test tree case modeling and test case input modeling.",0
You mean if I refresh I will lose what I have built so far!?,"input and process interaction modeling, test plan management and test case input modeling.",0
"What if I accidentally return back to the previous stage, will output information be saved?","yes, well you can go to login - > get started - > start test case search group, now then select appropriate test case group, and scroll to right till you see the action column. now hover over each action button to see the description, click ‘ view test cases ’. back then you will be again redirected to input test cases cases. did i almost solve your problem?",0
How is the output tree generated?,How is the output tre gnerate?,1
"We will add the feature in future
",Thanks for your helyp.,0
Can I change the node color?,Can I Lchange the node cColor?,1
Correct.,"You can rgnize your ontxt features into a ree structure evel by level. A parent node resens a cntex feature, and a chil node resens a sbature of that conet feature.",0
"There is no such limitation.
",we will consider the error schedule function,0
"Yes. You can go Go to Login → Get Started → DATA ADMINISTRATION 1. Select JSON File 2. Select File Type (Input,Context or Output) 3. Click submit.",how is the chemical output generated?,0
"You're welcome!
",some tree should feature only three peaks. there is another limit in the number intermediate nodes over child nodes. higher the nodes maximum number of test cases will are generated.,0
How can I do the version control of the input and context classification input?,but can i achieve it?,0
What to do with deleting nodes from input calssficaition.,as they accomplish with deleting nodes from the calssficaition.,1
"There is no limit to the number of child nodes.
",Tere is no limit to the number of chld nods.,1
"Understand, thanks",How to add or deJlete knode from inpwut classification?,0
Go to Login → Get Started → DATA ADMINISTRATION WITH GRAPH Select tree/file from dropdown list. Tree will be displayed.,Go to Login → Get Satrtde → ADTA DAMINISTRAITON WITH GRAPH Selcet tree / fiel rfom dropdown list. Tree iwll be displayed.,1
Can I use scratch input classification tree?,can and i use the scratch input classification tree?,1
What format does the app support?,then what format does calling the app support?,1
"You can try it, but your usage may be interrupted during the usage
","Sorry, we don ' t lhave fthat optizon.",0
"While building the context tree, my web page was frozen. what should I do?","While uildin the context tree, my web pae was fozen. wat shuld I do?",1
"Please contact the administrator for that
",what doing you mean corporate property?,0
What are the maximal test cases can be executed when the app performance is tested?,"mouse hovers point on a high node point and right side click, then the option view list will appear.",0
Absolutely. Go to Login → Get Started → DATA ADMINISTRATION WITH GRAPH Move the mouse over the node.Right click on it and select “Create Child Node” option.A popup window will open. Add name for the node and click create.,Absolutely. Go to Login → Get Started → DATA xADMINIxS6TRABTION WITH GRAPH #Move the mouse over the nonde. Righet click on it and selecEt “ Creabte Child ENode ” option. A popup windEow wi*ll (open. Add name for the node and click create.,1
"There is no limit to the number of child nodes.
",but was no reduce to the number of child nodes.,1
What actions can I do to a tree node?,why harm should i do to a tree node?,1
"The question is interesting.
",the tree should be only six levels. there is enough limit against the number of nodes and input counts. by the nodes some number of problem cases will be generated.,0
"Sure. You can uplaod your own JSON file.
",no. anyone can uplaod your own confidential file.,1
"Yes, Thanks. Can I change the color of node?",do you mean the output video format? with their input file version?,0
"Sure. You can uplaod your own JSON file.
",sure. next you both can uplaod your own json membership file.,1
Can I perform the same operation to downgrade a feature to a lower level?,Can I perform the sa me operation to dow ngrade a fea ture to a lower l evel?,1
Go to  Login → Get Started → DATA ADMINISTRATION WITH GRAPH,Whee can I store the output inomaton?,0
How can I delete a node?,How can I dlete a ode?,1
I can find the way to delete nodes from classification?,in the child node user can arrange all the possible input strings to output tree can be added next based on the generated tree context properties.,0
Yes.,Yes.,1
"Yes, you can. Just drag and rearrange the nodes in your tree.","yes, yes you already can. and just please drag and rearrange the nodes all in your tree.",1
"Sorry, we don’t have that option. But you can create a new node.
","S3orry, we don ’ t hatve that opttion. But you can crezate a new nodqe.",1
"Previous information are the previous stages, like input and contect stages.","previous information already mentioned previous stages, like analysis and contect data.",1
" Input and context tree modeling,Test case modeling and Test case input modeling.","mouse scroll to run - in and jump - out the tree, or shoot and pick to your tree limb.",0
"Sure. You can choose to upload files or create online.
",sure. and you can choose online to instantly upload files or create online.,1
"If I switch to other app and come back, the same directory still open?",Nothing wll happen.,0
"Sorry, we use JSON file to generate testing cases.
","Srory, we use JSNO fiel to generate testing cases.",1
"We plan to do that later
",we plan and do that later,1
"If I add more than 10 nodes at a level, would it be too much?","If I add ore thn 10 nods at a levl, wuld it be too much?",1
yes.,You can olgin with your username and psaswrod,0
Thanks for you help. Can I upload an excel file?,as in what our system menu? where do you need navigations?,0
Right.,"I am so rry. Us ers are not allowed to do th at directly. No des and chi ld Nod es are sorted ba sed on name (A - Z) after ea ch ac tion (add, del ete and rename ).",0
What functions are supported by the tool?,Waht ufnctiosn are supported by the tool?,1
"I am sorry, the answer is YES.
","I am sor ry, the ans wer is YES.",1
No.,"i am extremely sorry. many users however are not allowed to physically do that directly. nodes and child group nodes are sorted sorted based largely on name ( a - z ) after completing each removed action ( add, do delete and rename ).",0
For output generation?,"absolutely! there are two ways : first move your mouse over the node, right side click it then right select ‘ create child node ’ option. a popup window it will open. there is a plus ( + ) symbol on the popup event window. start with this you can add as many nodes required, then back click create to add nodes needed to the tree. the second way is move your mouse over the node, right click then select ‘ create 5 nodes ’ option to add to five child nodes with default names. then select the node to rename with appropriate values. thank you! can i upload my data input classification?",0
So I can’t test NLP applications. Is it right?,So I can ’ t tset NLP paplicaotins. Is it rgiht?,1
"Move mouse over the node. Right click on it and option to delete the node will be displayed.
",Is there any namnig convention for the ifle?,0
Is there a limitation on the number of output we could have from the same dataset?,Could you ex plain a lit tle bit more?,0
"Auto file versioning is not available but if you. Name the files accordingly and then user can store multiple versions of the file. Also, copy tree function is available
","the file versioning is not available but still desired. read the files explicitly and then user can store multiple matches of physical file. therefore, copy mapping function is available",1
"The output tree can be auto generated or the user can manually create the tree.
","ouse hovers on a noe and riht cick, then the option list will appear.",0
"Hello, I can’t find my testing cases? Can you help me?",Srory I don ’ t know,0
"Absolutely! There are two ways: First move your mouse over the node, right click then select ‘create child node’ option. A popup window will open. There is a plus(+) symbol on the popup window. With this you can add as many nodes required, then click create to add nodes to the tree. The second way is move your mouse over the node, right click then select ‘create 5 nodes’ option to add five child nodes with default names. Then select the node to rename with appropriate values.","Alternatively, You can delete the extar test caess",0
"There is no limit. You can add child nodes as needed. 
",Thank you t his sugguest!,0
"Sorry, we don't have that option.
",what are the maximum child caps nodes used for the invalid parents nodes ( child nodes nodes for invalid ; child cores nodes for remaining valid )?,0
How to delete nodes from input classification?,We $have no pla%n for it yet,0
"Sure.There is a plus(+) symbol on the popup window. With this you can add as many nodes required, then click create to add nodes to the tree.
","sure. there is a plus ( + ) symbol on each popup window. with this you can write several small words throughout, then type up to addition nodes to our tree.",1
Yes.,Yes.,1
Can I edit the input and context without generating the output tree when I reach the output stage? Like can I edit the information without saving it?,can i properly edit the initial input list and input context without almost generating the output tree when did i barely reach the output stage? like can i edit the source information without saving it?,1
During which stage?,during which question stage?,1
"Move mouse over the node. Right click on it and option to delete the node will be displayed.
","what horrors will even happen now if all the "" generate a test cases "" action was triggered and i interrupted it?",0
"Navigation : Login → Get Started → DATA ADMINISTRATION WITH GRAPH Move mouse over the node.Right click on it and option to delete the node will be displayed
",Yes. I should ahve something rwong with my paswsrod.,0
How many parents can each child node have?,how many caring parents who can each child node have?,1
"I am sorry, the answer is YES.
",not him,0
During which stage?,just which stage?,1
"At this stage, our application does not support multiple context trees in a file. A file only contains a tree.
","At tis stage, our application does not pport multie cotet trees in a file. A file only ontans a tee.",1
"I tried to upload csv file, but it failed.","I tired to uplaod csv flie, but it failed.",1
"There is no limit to the number of nodes and child nodes, but tree should have only three levels.","there is no limit both to the maximum number of nodes and of child nodes, but a tree should have only for three distinct levels.",1
"No, I don't quite understand you question.
","Great! If I wan to modify the ree, I need to pload the fil agin?",0
"For example, the image is about a dog. The dog's posture, orientation and surounding backgroud can be regarded as context. 
","A uto f ile ver sioning is not avail able but if you. Name the files accordingly and then user can store multip le versions of the fi le. A lso, copy tr ee function is availab le",0
How many contents can I add to my context?,independent test cases can be generated for almost any type a of application,0
What do you mean by previous stage?,what do you mean your second stage?,1
What type of action is for deleted test case?,so what type i of action is for a deleted test case?,1
"Expected output is generated from the output tree.
",the is there any inherent limitation for creating logical nodes for input classification?,0
I can find the way to delete nodes from classification?,maybe i can find the way to properly delete the nodes from classification?,1
"There is no such limitationn.
",there exists no true limitationn.,1
So I can’t test NLP applications. Is it right?,So I can ’ t tekst NLP app+lNica8tions. Is it rLight?,1
How can I reset my password? I can’t remember my password. ,"sure. there is a plus ( + ) power symbol on making the popup view window. with this system you can add back as many nodes when required, then clicking click create and to add nodes necessary to fill the tree.",0
"Sorry, we don't have this option right now. If you have more question, please contact admin.
",oh thank you for your help!,0
"What’s the performance test do you mean?
",Whoat ’ s the perfo_rmanOcTe test do you pmean?,1
How can I delete nodes from input classification?,How can I deltee nodes frmo input classification?,1
"I have a problem of uploading my input classification, how can I fix it?","yes, you finally can.",0
"Sorry I don’t know
",Srory I don ’ t know,1
"Sure. You can choose to upload files or create online.
",7. everybody can choose to upload files we create online.,1
"Ok, got it! I will modify it.",Go to Lo gin → Get Started → D ATA ADMINISTRATION WITH GRA PH,0
"Great question! The greater the number of nodes, the more test cases will be generated and the longer it will take. So if possible create a tree with necessary key values.
",i can ’ t login with my sister using email.,0
Go to Login → CONTACT  Click to view Google Feedback Form Add bug report.,Go to Login → CONTACT ClRick to vieDw Google Feedback FRorm Add bug )report.,1
Yes.,Yes.,1
"Can You find ""TEST CASE GROUP"" on your left?","will it find "" test one group "" on your left?",1
It’s necessary for team cooperation.,It ’ s neces(safry for team coopezrattYion.,1
Are you asking about the tree?,like is doing it all restorable?,0
Yes,so yes,1
 Have you check your account and password?,Have you check your acocnut and password?,1
"No. Currently we do not have this facility.
","Yes, for the utput tre.",0
"Sure. You can choose to upload files or create online.
",How is the outp ut generated?,0
Yes,you will need to create up an output data tree.,0
"I don't know
",I don ' t knwo,1
"Can You find ""TEST CASE GROUP"" on your left?",Can I mere two context tres into a single one onlie?,0
"Sure.There is a plus(+) symbol on the popup window. With this you can add as many nodes required, then click create to add nodes to the tree.
",however can the tool generate test cases for one app without the input and context specific definition written by multiple users?,0
How can I delete or add a node?,how bad can when i delete or ever add a node?,1
"No difference
",no medal difference,1
Go to Login → Get Started → DATA ADMINISTRATION WITH GRAPH Select tree/file from dropdown list. Tree will be displayed.,nov.,0
What’s the plan for it?,what precisely ’ s the logical plan for it?,1
"Navigation : Login → Get Started → DATA ADMINISTRATION WITH GRAPH Move mouse over the node.Right click on it and option to delete the node will be displayed
",following : login → get started → hello stream or operation move it over the node. right hand on it and try to delete the node will automatically displayed,1
"It is not decided yet
","Yes, no pbrolem.",0
"Sorry, we don't have that option.
","You can try it, but yoru usaeg may be interrutped duirng the usage",0
Can I merge the nodes at level 2 and level 3 in my context tree?,what does copying tree say?,0
What kinds of AI applications can be tested by this tool? Can I test NLP applications? ,Whast ' s your issue,0
Could you please provide detailed navigations to get to the output information?,Could you please proie detild navigations to get to the output inormain?,1
Like going back to the context page/input page.,Li ke going back to the cont ext p age / input page.,1
"Sure. You can choose to upload files or create online.
",but we will issue new resources once core server functionality update is built.,0
Can I set the test cases number for each test case branch? ,"Soryr, we don ’ t haev htat option. But you can creaet a new noed.",0
How can I change the order between features?,i don ’ not know,0
Can I set the test cases number for each test case branch? ,Can I set the test csaes number for eahc test case rbanch?,1
"You're welcome.
","Correct, wih using the same nput and cotex group.",0
What I mean is to create two separate trees with separate roots.,What I mean is to cr eate two separate trees wi th separ ate roots.,1
"Sorry I don’t know
",sorry i don ’ wanna know,1
"Sorry, we don't have this option right now. If you have more question, please contact admin.
",How can I do the version control of the inupt and cnoetxt lacssifciation inupt?,0
"Sorry, I don't understand you question.
","Sor ry, I don ' t unders tand you questi on.",1
"Ok, got it! I will modify it.","okay, got it! i must modify her.",1
"Go to Login → Get Started → DATA ADMINISTRATION WITH GRAPH Select tree/file from dropdown list. Click Delete.
",go to login → get node → data type with move at tree / node from dropdown list. move icon.,1
"JSON. You should build your context tree as a json file.
",i weren't know,0
"There is no limit to the number of child nodes.
",but we don't have an facility. they will need to contact another admin,0
"Application output is stored in the form of String. This output is generated by the application.
",can i create an image file for my free color tree?,0
I can’t find the delete button for input classification nodes?,during the output in stage right?,0
"There is no limit on the number of nodes and child nodes. Higher the nodes more no of test cases will be generated.So if possible create trees with key values.
",Tere is no limit on the number of nods and child nods. Highe the nodes mre no of tes cass will be generated. So if poible ceate trees ith key values.,1
"Sure. You can uplaod your own JSON file.
",Thanks for yo ur sugge stion. We ' ll think a bout it.,0
"Expected output is generated from the output tree. Application output is generated after the execution of test cases. Expected output tree will be used to compare actual application output to rate the quality。
",3. ouble click nea the tree to zom - in.,0
Can I build two separate context trees in the file? ,Can I buid two separate context tres in the fil?,1
"We will check it.
",we could check it.,1
Many things related to the subject in your image or video can be considered as context. ,many things happening to the subject within your image before video can been considered in context.,1
"No, I don't quite understand you question.
","no, i don'don t just quite understand who you question.",1
I saved! Where can I find the saved version.,I saved! Wh ere can I f ind the saved ver sion.,1
What to do if I want to add more nodes at once?,"a “ create child 1 node ” option. a conditional popup window will open. there is a plus ( + ) symbol on opening the resulting popup window. combined with this you can add as many nodes required, simply then simply click create key to add new nodes to the tree.",0
"Our system doesn't have nodes limitationn.
",our system doesn't actually have the nodes in limitationn.,1
"Absolutely! There are two ways: First move your mouse over the node, right click then select ‘create child node’ option. A popup window will open. There is a plus(+) symbol on the popup window. With this you can add as many nodes required, then click create to add nodes to the tree. The second way is move your mouse over the node, right click then select ‘create 5 nodes’ option to add five child nodes with default names. Then select the node to rename with appropriate values.","Absolutely! There are two ways: First move your mouse over the node, right click then select ‘ create child node ’ option. A popup windwo will open. There is a plus (+) sybmol on the popup window. Iwth htis you can add as many ndoes required, then click craete to add nodes to the tree. The second way is move your moues over the node, right click then select ‘ create 5 nodes ’ option to add five child noeds with default names. Hten select the noed to rename with appropriate values.",1
How can I do the version control of the input and context classification input?,how now can i do the version type control of the input and perform context classification by input?,1
Sounds great. How can I delete nodes from input classification?,I think it is evry useful ufnctino if the test cases are hueg and aovid workload traiffc,0
Can multiple users modify the same application input and context classification input?,Move omuse voer the noed. Irght clikc on it and option to delete the ndoe will be displayed.,0
"I don’t know
",Can I delete ndoes from input classification rtee?,0
"I am sorry. Users are not allowed to do that directly. Nodes and child Nodes are sorted based on name (A-Z) after each action (add, delete and rename).
","I am sorr. Uses are not allowed to do tha dirctl. Nodes and cild Nodes are sored baed on name (A - Z) after ach actin (add, delete and ename ).",1
How many parents can each child node have?,how few parents can each child potentially have?,1
"We will consider the schedule function
",this is no such limitation.,0
What type of input classification file can I upload?,Hwat type of inupt classification file can I uplaod?,1
"We only accept JSON file. You can go Go to Login → Get Started → DATA ADMINISTRATION 1. Select JSON File 2. Select File Type (Input,Context or Output) 3. Click submit.
",how can normally i upload my internal input classification?,0
